poi_id,category_id
24997924,72
27509612,48
29011460,48
28660919,48
10815330,136
12607002,118
23963251,56
33401515,48
32908222,109
8730021,48
5894992,72
25023663,145
11437094,41
23894523,48
4795441,48
24943820,118
26683776,48
15363189,241
2306621,48
12652015,93
7915226,242
2233487,173
26729817,140
26729817,243
11876124,48
23706438,217
15661787,92
33227697,27
25280618,63
19736910,48
17637422,212
8727234,126
19093517,48
26257824,56
8591213,48
34081808,244
19776558,48
34276978,48
17678546,131
20139155,245
33012304,56
26532607,48
23944054,193
28556217,48
24937670,127
14134877,171
23296167,192
34464314,210
25463793,246
15274545,181
16639582,247
2457852,48
15588908,48
19503079,91
12565264,178
25190755,48
8693110,114
12254007,170
26868074,72
19073592,19
23484446,85
33142498,48
32979882,56
15334083,48
27702645,86
15685002,140
15685002,175
25191132,48
14942510,48
15000476,145
33019883,48
26501645,48
27109832,76
24816718,48
32981220,18
33012406,48
33023622,41
11729112,56
28956051,48
9748309,48
28983390,72
5972878,238
27801812,48
14080652,56
19458000,56
23384189,48
24133019,19
19860093,124
6672374,56
16855050,48
17464979,56
6973994,56
7722307,72
33304565,131
27648721,48
28027648,248
12419842,48
19501573,249
26839103,48
28482997,250
28019476,72
19796046,63
34075184,9
34004484,56
26924226,48
27479213,193
26630300,56
33237724,251
7950999,72
27694121,145
33993929,252
31270817,48
12202673,137
33335556,48
5999378,48
33284918,214
33284918,215
33230573,48
20328100,76
15661497,117
7080138,253
6131895,147
6131895,148
19095463,254
11443974,56
12635189,108
6634209,173
3338621,56
28666147,48
25290852,147
25290852,161
6364047,72
19070225,56
25027578,149
12833082,48
33060140,48
14089966,48
17739323,76
33243737,48
27122157,48
33358764,48
26027120,255
24060471,48
15180218,48
32699733,106
4498781,72
28879715,180
8734774,48
26399823,41
11872607,72
25114346,48
11631362,114
14170068,48
27720989,256
25570713,48
11851425,149
33018606,207
33018606,122
32727880,257
6974469,48
13979531,108
15586262,48
15804312,48
10859374,74
31225528,74
12874672,217
24049653,180
27503352,27
32808463,124
28262224,184
17607265,48
32863022,144
33287310,258
19565105,63
28662395,132
25327079,259
26447728,48
28035599,48
9721849,56
6796019,56
25250993,48
19111986,131
24886282,204
17823008,110
25290803,48
17547732,91
1987511,48
27670851,48
12968900,48
20254305,56
31594321,48
28027705,63
25354391,15
27921094,27
34336765,48
20543015,124
2317850,48
34277137,48
34376326,125
34369886,19
34259287,48
34385087,56
27517807,48
16828808,91
34365134,256
21293270,91
15667287,52
11437097,72
27730582,48
34289823,130
27109573,48
33883309,150
33950762,48
27414257,140
27414257,163
34093726,48
13113361,72
11805666,72
11708077,48
27155056,124
33004497,72
34226066,48
34023635,260
27135890,48
17282143,48
17337852,48
33103550,256
26355295,48
33994009,134
6774393,261
32889688,190
15122337,262
15122337,215
10801866,48
7618553,56
23920420,27
32871555,56
12530053,263
33441904,48
12874736,48
13335965,56
26694569,264
8602636,93
32704739,48
33503487,48
7937131,48
32793965,140
32793965,235
2494890,56
33675000,118
25174905,48
20385151,72
33971060,77
26361530,56
33077866,74
13873247,63
16827815,56
33332069,48
25454406,56
33118577,219
32761755,265
19408025,228
17558611,56
13195619,56
17844507,48
33110487,48
8071799,56
17582635,142
5113272,173
28665841,184
17666874,69
25564935,41
27540805,173
25896165,34
23966734,72
26554523,9
29014244,56
24190446,147
24190446,266
33032828,245
23956540,56
33110501,86
17415212,145
18970135,48
33057125,48
23544470,56
12613794,48
2433197,48
32742787,267
33236865,228
10165830,257
27107162,268
32797386,72
4049421,48
27921250,269
19056295,270
7950997,72
9986381,56
27415211,72
26469243,63
8385963,56
20912843,192
25089830,87
26106847,271
17483986,72
8503754,56
19086070,124
24989094,63
33988252,48
11124045,85
31085963,98
28046392,48
28653969,48
8532676,56
24997204,272
31455558,273
24834206,72
26651228,48
6523110,56
15227546,274
33024489,19
14067894,108
28446534,275
33118137,48
4187579,99
34002827,48
34021055,48
4609087,100
7659428,56
28931647,240
14187194,72
25401012,135
16656504,276
27129676,48
33177454,48
1964479,277
4235303,115
33114837,61
11760584,48
33242184,278
15296019,279
33234943,48
11816951,56
26866574,48
33308814,48
33422352,86
32822135,48
28155446,72
1818362,280
33299370,281
33400530,282
32848731,24
32998021,283
9882201,48
33329681,48
26161059,140
26161059,175
32974324,140
32974324,235
32984658,284
33220715,285
21394058,91
21002524,77
6620563,48
11487920,52
25000171,72
24495424,72
33278897,48
2082354,150
24164802,48
33122378,144
33253996,48
18344212,131
33222041,48
19761721,202
2624562,48
33111686,48
33066095,48
33223928,48
4737694,56
23838153,72
26336495,256
33098186,48
33077183,48
32716121,92
30356818,209
11741470,48
8415862,286
33029989,48
33055690,48
33043601,207
33043601,122
12500777,48
14074123,98
26259726,48
12878922,56
14094708,147
14094708,148
6902487,48
32963110,168
20199962,48
23000709,168
32863289,48
32800829,2
27747582,69
26778199,48
27146902,287
