poi_id,region_id
15528737,2
25171188,1
13162032,1
26959373,1
7154018,1
8856586,2
23718217,3
32908268,3
6498863,1
2187722,1
23241279,2
5038003,2
2099329,2
1837685,1
33404918,1
8262761,1
25053984,2
1636752,2
13340286,2
4873291,2
26916395,1
25093665,2
6774221,1
14960488,5
11437030,2
17212823,3
12788024,1
6827604,1
17627334,1
24977107,2
10694795,11
17838697,3
2149556,3
10767864,2
16882798,1
7396352,1
10836066,1
11879452,3
12212953,2
12848297,2
2004786,2
10044301,1
3948543,1
28252124,4
19163793,2
17801726,1
26223282,4
33301162,1
25789447,1
18830093,3
13073660,1
8647034,2
19323919,1
24131945,2
2264651,1
8856664,2
13441867,1
5539395,3
15019919,1
12226320,1
15296299,10
13421912,1
15278678,1
8263413,1
16872213,4
2273094,2
7767149,1
17379413,1
24010769,2
11918882,2
26730795,2
13447187,1
3617391,3
13442216,1
34036748,2
33212849,3
33678444,2
27533962,1
4480894,1
5982006,1
1307686,1
20661122,10
13006978,1
24902115,6
5501655,1
17733614,1
7339857,1
7194403,2
15681266,2
5461656,3
34064312,2
6387515,1
25293417,6
25234074,1
17548235,1
11544014,3
2487716,2
24122789,6
6429729,3
6560716,1
2435196,2
13391755,1
15522949,2
28055218,1
17604040,1
2266103,1
14790505,3
3959210,1
2424536,1
8291676,1
2435402,2
12124708,4
27689774,1
8765849,2
13871488,4
2226088,1
18207039,3
12204583,1
26830472,2
11612118,1
12508941,1
14025564,4
1997306,1
17762416,1
27640676,2
26998060,1
28110943,4
28043812,12
27946568,2
23470134,2
7065652,2
12250546,2
17600319,13
26867653,1
15592663,1
34418206,1
17607737,1
34495164,2
25406507,2
33007917,2
8810040,1
30236236,1
16159007,1
4237570,2
12150062,2
27105186,2
14086619,1
24996778,14
28001024,1
27175388,1
12387550,2
19331065,2
12829824,1
8009540,2
17282150,1
25129936,2
11435831,10
32811188,1
27926877,1
25257326,3
34262636,1
28016792,1
16698454,1
33116956,4
26923954,1
4223482,1
17427697,2
5991449,2
27951546,2
28044127,2
34389096,1
25553159,1
9754912,1
29788030,1
15638160,1
10794820,1
24970697,3
26343200,4
28029827,2
8445328,7
12878764,2
34311620,2
7228353,1
27463172,1
24125688,6
26877580,1
25009311,1
14767124,1
13322086,1
8040226,1
33265191,3
33133859,2
24155502,1
33286153,1
25388349,2
6131915,1
34420172,1
8851161,1
6876742,1
25454511,2
25400195,4
26247731,1
24185430,2
33440442,1
33881768,3
16835208,1
28233779,10
28792409,1
29014463,1
27094243,5
5501649,4
33413371,1
10844679,4
26633301,1
17332813,2
32710059,15
27747601,1
2233150,1
2216808,1
33374875,14
33951141,1
25463590,1
19526685,2
2100931,1
33161085,1
25191918,10
12968833,1
33067695,2
11624295,2
26725728,4
20409697,1
17220125,1
26819524,2
12698554,1
27796521,10
15300727,2
7942420,4
33444435,1
12455663,2
25430600,10
20888254,11
16770255,3
12945904,1
24826474,10
26320378,11
34056606,1
19102846,3
26345967,2
25295190,2
27979964,1
32851487,2
13961526,4
24994173,1
15746074,2
1977231,1
12585051,1
14440775,1
24102260,4
34335309,1
7948289,1
25310391,2
17838756,2
2622636,1
23198719,10
33249100,2
15106363,1
28879585,1
6963268,1
15197318,2
18509987,1
2424560,2
6372027,1
33243717,1
5498786,1
7075819,2
21254427,3
25130681,3
33368818,4
25312593,2
12409628,1
32912733,1
33180386,1
10024752,1
4752380,1
27127577,1
20342052,1
26670437,2
3319960,1
11964774,1
23812095,2
24998497,1
27523746,1
8627400,1
12851481,1
33989524,1
33984863,1
17422380,1
26260077,2
28501591,2
33879377,1
33000429,1
12906805,2
24037055,3
15224749,1
32914137,1
27994790,1
27751446,1
6508927,8
27687121,1
10791855,2
6439796,2
7266967,1
27973731,1
33131266,2
25370585,2
17853334,1
19104967,1
19773589,1
34244672,1
17582591,1
27120129,1
23963250,1
15667291,1
24100620,1
33369585,1
9882491,2
29037205,3
28040154,2
32824795,2
34469716,13
29358232,4
27497551,2
32904350,1
24992593,3
19620493,1
24967809,1
33369597,2
16694960,1
14947946,1
33117442,2
33968282,2
11622536,1
13225175,1
33056335,1
13358373,1
29616717,1
27730319,1
6890386,1
26660834,2
27687827,1
15275858,1
12559538,2
25576930,1
27946064,1
25559891,1
25804904,2
24081716,2
20141060,2
26694543,1
33261436,1
19492961,1
33323508,2
27954461,1
27572418,1
7141991,3
23955710,1
33061937,2
12924148,2
27983269,1
10065772,1
27168007,4
27826290,2
13837663,1
32840761,1
25076525,4
17695818,2
33995103,2
17591962,1
19176251,1
14216965,3
33318501,1
31599667,2
14790330,1
8854959,1
25557384,1
17430860,2
3700540,1
17464318,1
28099091,7
27765679,1
6983400,3
34360873,1
32812885,4
14074152,1
13119384,1
17810243,1
14000258,4
15334746,1
25378453,2
19736333,8
21141915,1
24932763,3
11443715,3
27979967,1
12140418,1
6563470,2
21055483,1
25806494,3
16913859,3
28029875,2
20318009,14
26756226,1
34322878,2
25075179,1
26353016,1
26518214,14
33968734,3
10794875,2
21500249,1
6725553,2
